id,building,floor,orientation,deskNo
548,B,5,SW,9
549,B,5,SW,12
550,B,5,SW,11
551,B,5,SW,23
552,B,5,SW,21
553,B,5,SW,22
554,B,5,SW,20
555,B,5,SW,19
556,B,5,SW,17
557,B,5,SW,18
558,B,5,SW,16
559,B,5,SW,14
560,B,4,NW,1
561,B,4,NW,4
562,B,2,NE,15
563,B,2,NE,20
564,B,2,NE,21
565,B,2,NE,23
566,B,2,NE,10
567,B,2,NE,2
568,B,2,SW,4
569,B,2,SW,11
570,B,2,SW,12
571,B,2,SW,23
572,B,2,SW,22
573,B,5,SE,21
574,B,5,SE,24
575,B,5,SE,12
576,B,5,SE,10
577,B,5,SW,24
578,B,2,SW,6
579,B,2,SW,10
580,B,2,SW,18
581,B,2,NE,24
582,B,2,NE,11
583,B,5,SE,23
